city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
khorixas,na,2017-08-23 09:51:58,14.97,-20.37,64.79,76.0,0.0,3.04
kidal,ml,2017-08-23 09:51:58,1.41,18.44,85.22,51.0,56.0,7.18
kikwit,cd,2017-08-23 09:51:58,18.82,-5.04,75.59,87.0,8.0,3.71
kincardine,ca,2017-08-23 09:51:58,-81.63,44.18,64.25,100.0,44.0,21.5
kipushi,cd,2017-08-23 09:51:59,27.23,-11.77,65.6,47.0,0.0,5.95
kiruna,se,2017-08-23 09:20:00,20.23,67.86,46.4,75.0,92.0,8.05
kisangani,cd,2017-08-23 09:51:59,25.2,0.52,73.7,94.0,0.0,1.14
kjollefjord,no,2017-08-23 08:50:00,27.35,70.95,50.0,71.0,20.0,6.93
klaksvik,fo,2017-08-23 09:20:00,-6.59,62.23,55.4,82.0,0.0,17.22
komatipoort,za,2017-08-23 09:52:00,31.95,-25.43,61.37,39.0,0.0,6.73
kruisfontein,za,2017-08-23 09:52:00,24.73,-34.0,60.74,77.0,0.0,25.97
kudahuvadhoo,mv,2017-08-23 09:52:01,72.89,2.67,83.6,100.0,0.0,3.94
kushuhum,ua,2017-08-23 09:30:00,35.21,47.71,69.8,43.0,0.0,6.71
kutum,sd,2017-08-23 09:52:01,24.67,14.2,78.38,49.0,36.0,5.39
la plata,ar,2017-08-23 09:00:00,-57.95,-34.92,68.0,64.0,0.0,4.7
la rioja,ar,2017-08-23 09:52:02,-66.85,-29.41,70.55,44.0,0.0,5.73
lagoa,pt,2017-08-23 09:52:02,-27.98,39.05,73.34,100.0,80.0,9.08
lagoa vermelha,br,2017-08-23 09:52:02,-51.53,-28.21,77.93,57.0,0.0,12.33
laguna,br,2017-08-23 09:52:03,-48.78,-28.48,67.49,90.0,8.0,21.72
lebu,cl,2017-08-23 09:52:03,-73.65,-37.62,52.01,100.0,92.0,37.04
les cayes,ht,2017-08-23 09:51:17,-73.75,18.2,86.84,90.0,8.0,11.65
lilongwe,mw,2017-08-23 09:52:03,33.79,-13.97,60.92,62.0,0.0,4.72
lima,pe,2017-08-23 09:49:15,-77.03,-12.04,69.02,59.0,0.0,3.38
lindi,tz,2017-08-23 09:52:04,39.72,-10.0,73.52,70.0,8.0,5.39
linhares,br,2017-08-23 09:52:04,-40.07,-19.39,74.42,62.0,64.0,15.23
lixourion,gr,2017-08-23 09:20:00,20.43,38.2,82.4,78.0,20.0,9.17
loandjili,cg,2017-08-23 09:00:00,11.86,-4.76,75.2,73.0,90.0,6.93
loiza,us,2017-08-23 09:50:00,-65.88,18.43,89.6,70.0,40.0,11.41
longyearbyen,sj,2017-08-23 08:50:00,15.64,78.22,42.8,81.0,75.0,3.36
los llanos de aridane,es,2017-08-23 09:00:00,-17.92,28.66,78.8,74.0,20.0,16.11
louisbourg,ca,2017-08-23 08:50:00,9.19,48.9,80.6,42.0,0.0,3.36
luanda,ao,2017-08-23 09:00:00,13.23,-8.84,73.4,73.0,75.0,3.36
luau,ao,2017-08-23 09:52:06,22.22,-10.71,75.05,55.0,0.0,1.03
